Year,Month,Danceability,Danceability,Energy,Energy,Speechiness,Speechiness,Acousticness,Acousticness,Instrumentalness,Instrumentalness,Liveness
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean
1978,7,0.598919540229885,0.11592000232626394,0.6168793103448276,0.22158415333417047,0.05275402298850575,0.031652942861081765,0.22480114942528737,0.22223297773735629,0.0032523224137931037,0.007576794389577154,0.18579195402298854
1978,8,0.5930615384615384,0.13875584187286014,0.6076338461538462,0.22325837909592205,0.04885384615384615,0.022452763449928862,0.2274676923076923,0.22829724189891967,0.0037696687692307693,0.00796894974365947,0.18864461538461538
1978,9,0.6083432835820896,0.1565977816552896,0.6292910447761194,0.21975226322228433,0.05076119402985075,0.016620906470046225,0.23835671641791045,0.24474274324456066,0.002760499402985075,0.006136467118439857,0.1820955223880597
1978,10,0.595047619047619,0.19022168740721038,0.5772904761904762,0.23658902393929482,0.0503547619047619,0.014372436397170401,0.3016957142857143,0.30118684893505654,0.009346970476190477,0.018299893258907806,0.12520238095238095
1978,11,0.62788,0.18137542978753282,0.58756,0.18723500021663272,0.048895999999999995,0.014883519991821114,0.24881040000000001,0.2849358910420349,0.008917782400000001,0.016948091363200458,0.13150399999999998
1978,12,0.6310289855072463,0.15548983048025747,0.5472173913043479,0.18648591411600735,0.04563043478260869,0.014556535871315331,0.263654347826087,0.2969216385209991,0.013609121739130436,0.02435805777673672,0.13569130434782609
1979,1,0.63525,0.149449115539682,0.54005,0.187642323385274,0.043991666666666665,0.01334894513278829,0.25791533333333333,0.2959700530399945,0.013583692000000001,0.02516101292875236,0.13065166666666667
1979,2,0.6459444444444444,0.13744685651108893,0.5576666666666666,0.1993692885264608,0.047574074074074074,0.049036733190096105,0.2011022222222222,0.27609155684483777,0.013413220000000002,0.025108646022833244,0.14013333333333333
1979,3,0.6797678571428571,0.06319752327466598,0.6015535714285714,0.15583288480616983,0.06634107142857143,0.10245990928036322,0.07643571428571429,0.07895353162363387,0.005125558928571429,0.010921143091982414,0.13805535714285716
1979,4,0.6655142857142857,0.08291114004075174,0.6552571428571429,0.15183627847844822,0.07659142857142857,0.11443464708636766,0.09546571428571428,0.14531031489004964,0.005089065714285714,0.012017854144684382,0.10662285714285714
1979,5,0.6884871794871794,0.09060668959701648,0.6547948717948717,0.15799370065510096,0.06554871794871794,0.09533402184948091,0.1669076923076923,0.22676637802467356,0.011632135897435898,0.025283417389544885,0.0962948717948718
1979,6,0.6799607843137254,0.13138644690900408,0.6707843137254902,0.18532558525206283,0.04268039215686274,0.010588163572741841,0.16740980392156865,0.21861777316119746,0.011966249019607845,0.0266340816265579,0.08174901960784314
1979,7,0.6768604651162791,0.1383280402995425,0.6609999999999999,0.18239869987005308,0.043876744186046514,0.012615199396519798,0.1650320930232558,0.21134411948467607,0.012489381395348838,0.026564728874807413,0.08600232558139535
1979,8,0.7000930232558139,0.13818273166759476,0.6815581395348836,0.18581471856274326,0.04666046511627906,0.017287321799995838,0.1757739534883721,0.20681766321983258,0.01576202093023256,0.027620236919319016,0.09576279069767442
1979,9,0.70028125,0.14133059718834032,0.66834375,0.1787587325861493,0.051459375,0.019163773946037844,0.1233725,0.13010402416230563,0.022393840625,0.0340699979651652,0.096378125
1979,10,0.6428095238095238,0.15073639873886432,0.7430952380952381,0.10731863992890738,0.0495047619047619,0.020695349143961695,0.12385714285714286,0.08732412365107692,0.01016908761904762,0.017958260119498748,0.12202857142857144
1979,11,0.67425,0.14363034472536063,0.69375,0.12487819991821957,0.05266071428571428,0.02202601726386176,0.20580714285714286,0.21184753065208534,0.012514649285714287,0.021256487064240978,0.1546107142857143
1979,12,0.6916046511627907,0.12386881300389724,0.6225348837209302,0.14091965776508622,0.04919767441860465,0.020670930685754874,0.26615581395348836,0.21556383023566206,0.018072768604651162,0.02708043528449579,0.16973023255813954
1980,1,0.6882903225806452,0.11157544339993666,0.5911290322580645,0.14185643962247746,0.042951612903225814,0.01564708430704673,0.29849354838709674,0.21733208527578843,0.01621236258064516,0.027543703606021822,0.15996129032258063
