Year,Month,Danceability_mean,Danceability_std,Energy_mean,Energy_std,Speechiness_mean,Speechiness_std,Acousticness_mean,Acousticness_std,Instrumentalness_mean,Instrumentalness_std,Liveness_mean
1972,5,0.576555556,0.151414205,0.556166667,0.220369276,0.045611111,0.018744784,0.328135,0.352517656,0.000834107,0.001907859,0.127655556
1972,6,0.587206897,0.185973189,0.513172414,0.157035726,0.043493103,0.01891426,0.390249655,0.29480696,0.000699086,0.001743002,0.194375862
1972,7,0.529020833,0.192687763,0.5389375,0.178303281,0.049914583,0.024062498,0.450188542,0.229082633,0.000555677,0.001525498,0.19453125
1972,8,0.537888889,0.146577874,0.508472222,0.201508807,0.045511111,0.021618732,0.475088889,0.211143794,0.000126633,0.000455636,0.199786111
1972,9,0.559727273,0.143356646,0.568563636,0.203498727,0.046329091,0.020750017,0.347634545,0.206922139,0.000306267,0.000785643,0.183118182
1972,10,0.541952381,0.142224308,0.57347619,0.214562998,0.044733333,0.021269246,0.314397619,0.219910366,0.000319817,0.000803887,0.168630952
1972,11,0.5934,0.120094675,0.5788,0.187361793,0.035513333,0.006343704,0.29708,0.227352217,0.000228975,0.000691448,0.169873333
1972,12,0.561904762,0.109328507,0.552190476,0.168411986,0.034928571,0.005176037,0.380719048,0.287643497,0.002104794,0.006942425,0.140704762
1973,1,0.575027778,0.095838402,0.547722222,0.18214572,0.034047222,0.005196674,0.390172222,0.277336654,0.005659979,0.013245861,0.131733333
1973,2,0.585866667,0.074884616,0.556466667,0.189475271,0.039026667,0.019623366,0.410073333,0.280503464,0.006496744,0.014315813,0.102763333
1973,3,0.599243902,0.09081376,0.587902439,0.172730253,0.046217073,0.025574615,0.349207317,0.278309607,0.004171056,0.012493942,0.097356098
1973,4,0.592888889,0.104370707,0.52675,0.185430368,0.046266667,0.025433914,0.521411111,0.313862466,0.021322455,0.070845946,0.112688889
1973,5,0.602513514,0.108670149,0.555324324,0.194215238,0.052643243,0.033957257,0.49762973,0.328997024,0.043381405,0.120644588,0.1133
1973,6,0.617854167,0.110281649,0.605208333,0.176052574,0.05078125,0.033517862,0.44865625,0.318795919,0.087161808,0.186980999,0.116466667
1973,7,0.596542857,0.114755839,0.630457143,0.189423482,0.055851429,0.035595252,0.484645714,0.280030219,0.095821482,0.19440385,0.122542857
1973,8,0.625162162,0.111170168,0.636243243,0.176208905,0.055464865,0.033956076,0.445167568,0.237833358,0.06403361,0.182521299,0.149783784
1973,9,0.598520833,0.172523324,0.587708333,0.188362932,0.064510417,0.06502183,0.448722917,0.223037697,0.027408481,0.116944258,0.223066667
1973,10,0.541133333,0.160115418,0.516833333,0.174904917,0.04468,0.01956218,0.469873333,0.254027145,0.005204304,0.011364465,0.233116667
1973,11,0.550611111,0.156734038,0.512111111,0.193938838,0.054261111,0.046064832,0.488030556,0.29594841,0.008266442,0.014239922,0.243622222
1973,12,0.532973684,0.149252821,0.490157895,0.187413479,0.059328947,0.056149568,0.532973684,0.32203316,0.006486932,0.013508011,0.23875
1974,1,0.561074074,0.136910393,0.485074074,0.200925154,0.064474074,0.058346963,0.588185185,0.294524002,0.007303224,0.014196619,0.198681481
1974,2,0.551821429,0.140308405,0.4775,0.195478615,0.063278571,0.057644976,0.599642857,0.276660805,0.007041702,0.0139998,0.204385714
1974,3,0.515,0.17203079,0.416107143,0.165580984,0.065771429,0.064279862,0.575407143,0.303698722,0.00308035,0.007823545,0.291660714
1974,4,0.55776,0.190764314,0.41608,0.145906625,0.092808,0.097767573,0.63792,0.20755058,0.001467427,0.002845825,0.345436
1974,5,0.593217391,0.149424641,0.530826087,0.112771552,0.081708696,0.100380503,0.446188696,0.203586833,0.000196786,0.000512131,0.280095652
1974,6,0.618525,0.110328876,0.60025,0.201422092,0.0736425,0.085799214,0.4283475,0.223400079,0.036031073,0.102137654,0.2080125
1974,7,0.630928571,0.121336338,0.589214286,0.201847266,0.06497381,0.077064088,0.437556476,0.24745703,0.086912508,0.147609152,0.195521429
1974,8,0.596264151,0.136666375,0.598132075,0.217723628,0.044816981,0.03830029,0.410160943,0.288605652,0.101491175,0.154918197,0.136624528
1974,9,0.581647059,0.150557325,0.577794118,0.237713958,0.041158824,0.017017355,0.441462294,0.320594418,0.108497628,0.164668806,0.126323529
1974,10,0.565,0.130039388,0.534352941,0.166427504,0.036161765,0.012000632,0.497117647,0.256727041,0.043671506,0.103294445,0.147641176
1974,11,0.514545455,0.111411756,0.527,0.14156435,0.035422727,0.009285118,0.468704545,0.229013311,0.013946302,0.049163361,0.141759091
1974,12,0.513444444,0.102515907,0.538222222,0.078949934,0.036022222,0.008796854,0.398555556,0.161218298,0.003759521,0.005946933,0.145655556
1975,1,0.497815789,0.101045843,0.514789474,0.118591317,0.038715789,0.013944049,0.443578947,0.20165084,0.003583817,0.005833913,0.157442105
1975,2,0.513076923,0.139691838,0.447871795,0.13999759,0.042774359,0.021747168,0.504128205,0.248564318,0.001369319,0.002206694,0.154558974
1975,3,0.539121951,0.134819916,0.427731707,0.140172577,0.045787805,0.024171638,0.550146341,0.2515421,0.000973142,0.001754873,0.163453659
1975,4,0.524575758,0.121942873,0.408060606,0.138212685,0.04580303,0.024088178,0.492787879,0.292000616,0.003885124,0.009859895,0.117763636
1975,5,0.551411765,0.139683868,0.455352941,0.194290143,0.049205882,0.025601692,0.459835294,0.324662333,0.007113245,0.01746077,0.111385294
1975,6,0.5726,0.177906136,0.478313333,0.202438142,0.045523333,0.021738488,0.378546667,0.319198098,0.0155214,0.029640629,0.141866667
1975,7,0.52956,0.196774211,0.418552,0.174211431,0.039764,0.012785372,0.44144,0.314634057,0.016213112,0.031842131,0.172232
1975,8,0.548714286,0.202476859,0.460232143,0.23561558,0.041135714,0.012982844,0.477678571,0.311136156,0.015557982,0.033116753,0.220178571
1975,9,0.611333333,0.174387363,0.5744,0.189043003,0.046153333,0.024456897,0.290134667,0.225433919,0.01724092,0.035225889,0.172253333
1975,10,0.529375,0.173100308,0.621,0.242683882,0.0473,0.030181716,0.2743775,0.210733038,0.0546973,0.128111364,0.168175
1975,11,0.545322581,0.183166479,0.684,0.226540798,0.051596774,0.025687785,0.330919258,0.254399709,0.070843216,0.13899323,0.214519355
1975,12,0.642236842,0.140527853,0.594789474,0.181658896,0.055331579,0.034075894,0.462042,0.308603582,0.048647779,0.187781538,0.171805263
1976,1,0.639357143,0.146440981,0.527446429,0.191652803,0.053457143,0.032552714,0.519156161,0.331764962,0.074642134,0.239284691,0.169148214
1976,2,0.646103448,0.150035866,0.59287931,0.208347641,0.049962069,0.029340702,0.456165448,0.335424684,0.058779062,0.212313838,0.167587931
1976,3,0.627733333,0.17349907,0.544488889,0.222509001,0.048295556,0.028696887,0.523155556,0.321123734,0.076403284,0.238721034,0.152335556
1976,4,0.592566667,0.183598077,0.515433333,0.262510122,0.04304,0.021719395,0.5034,0.321803924,0.114836963,0.286150754,0.1705
1976,5,0.596978261,0.150215769,0.585673913,0.268135957,0.055569565,0.030673085,0.401576087,0.276377921,0.002870583,0.004714662,0.18375
1976,6,0.596368421,0.167345317,0.637631579,0.217869093,0.047889474,0.01887575,0.281631579,0.168147927,0.001235968,0.002244834,0.174126316
1976,7,0.570433962,0.148847045,0.585773585,0.176826691,0.049186792,0.030719413,0.260811321,0.183183101,0.016798179,0.049952525,0.208720755
1976,8,0.548952381,0.135280549,0.590071429,0.162991006,0.055119048,0.045144085,0.214040476,0.169968514,0.016637133,0.050377032,0.2127
1976,9,0.523738095,0.14284002,0.619309524,0.167654623,0.057940476,0.058178732,0.212670476,0.197634222,0.016460657,0.050421474,0.209819048
1976,10,0.533172414,0.165891545,0.607758621,0.161303061,0.051951724,0.053743681,0.240932759,0.254152331,0.015982978,0.04785466,0.190605172
1976,11,0.538666667,0.172791023,0.589875,0.155742644,0.050841667,0.053005017,0.270848333,0.268220896,0.00885895,0.034193492,0.1736375
1976,12,0.539680851,0.159990639,0.592851064,0.181310085,0.054191489,0.055104607,0.304270851,0.305610879,0.003850951,0.007376571,0.191044681
1977,1,0.570542373,0.15850784,0.608983051,0.188376594,0.049198305,0.040375122,0.311843559,0.309655349,0.031358042,0.143561149,0.197327119
1977,2,0.570903846,0.168431549,0.574192308,0.189884076,0.042694231,0.02238256,0.341696923,0.318587452,0.051049744,0.184822637,0.223784615
1977,3,0.535357143,0.140899691,0.570785714,0.229176632,0.043928571,0.024053571,0.343436667,0.347521075,0.005625767,0.009180224,0.252757143
1977,4,0.541070175,0.133096348,0.562298246,0.230546785,0.04285614,0.023299349,0.361016667,0.348941806,0.005178939,0.008915983,0.240684211
1977,5,0.552928571,0.13088105,0.532767857,0.210184939,0.0396375,0.021826136,0.360884643,0.350045738,0.00639706,0.015846889,0.151117857
1977,6,0.555857143,0.105559623,0.575920635,0.196945326,0.037620635,0.015492737,0.259410159,0.30984843,0.008884167,0.025855636,0.147642857
1977,7,0.562932432,0.106256517,0.609554054,0.188548758,0.040964865,0.019416745,0.250333919,0.274271232,0.01452866,0.037103628,0.163601351
1977,8,0.57380303,0.115051322,0.640257576,0.1591611,0.042677273,0.022209768,0.218315152,0.244732398,0.057983483,0.166957731,0.164262121
1977,9,0.559303797,0.13459763,0.609591139,0.171995337,0.042883544,0.023505392,0.263622785,0.281342189,0.048541044,0.15390839,0.161756962
1977,10,0.563757576,0.147152086,0.56519697,0.193661144,0.042069697,0.019393695,0.306694949,0.323686007,0.046561048,0.156025623,0.138578788
1977,11,0.572130952,0.148174253,0.514366667,0.205197427,0.042121429,0.019769235,0.379079762,0.337611898,0.043851713,0.152833593,0.125635714
1977,12,0.5607375,0.159236449,0.46798125,0.195717583,0.0374675,0.011473456,0.385005625,0.345353538,0.046796811,0.169140749,0.125595
1978,1,0.578254902,0.131169942,0.470209804,0.125899551,0.036970588,0.012664743,0.358739216,0.287175172,0.014600149,0.096632581,0.121021569
1978,2,0.579096154,0.119335129,0.497826923,0.114802255,0.036203846,0.012673501,0.303634615,0.254590257,0.000875123,0.001950298,0.120094231
1978,3,0.598025,0.088711716,0.538075,0.106773757,0.03535,0.014440151,0.2147,0.20955458,0.000215984,0.000529247,0.1213925
1978,4,0.608350877,0.097938117,0.568368421,0.086897647,0.033901754,0.013880311,0.146487719,0.152747584,0.001350052,0.005193849,0.136684211
1978,5,0.604886364,0.10919243,0.5785,0.127208399,0.040615909,0.033478851,0.152540909,0.146997447,0.002909838,0.008070321,0.140845455
1978,6,0.606796296,0.1173055,0.614381481,0.202260784,0.050677778,0.034665227,0.201922222,0.191234543,0.002983624,0.007456813,0.208638889
1978,7,0.59891954,0.115920002,0.61687931,0.221584153,0.052754023,0.031652943,0.224801149,0.222232978,0.003252322,0.007576794,0.185791954
1978,8,0.593061538,0.138755842,0.607633846,0.223258379,0.048853846,0.022452763,0.227467692,0.228297242,0.003769669,0.00796895,0.188644615
1978,9,0.608343284,0.156597782,0.629291045,0.219752263,0.050761194,0.016620906,0.238356716,0.244742743,0.002760499,0.006136467,0.182095522
1978,10,0.595047619,0.190221687,0.577290476,0.236589024,0.050354762,0.014372436,0.301695714,0.301186849,0.00934697,0.018299893,0.125202381
1978,11,0.62788,0.18137543,0.58756,0.187235,0.048896,0.01488352,0.2488104,0.284935891,0.008917782,0.016948091,0.131504
1978,12,0.631028986,0.15548983,0.547217391,0.186485914,0.045630435,0.014556536,0.263654348,0.296921639,0.013609122,0.024358058,0.135691304
1979,1,0.63525,0.149449116,0.54005,0.187642323,0.043991667,0.013348945,0.257915333,0.295970053,0.013583692,0.025161013,0.130651667
